run_id,timestamp,dataset_name,split,domain,student_name,student_backbone,student_ckpt,train_method,image_id,image_path,condition,student_miou,student_risk,student_pixel_acc,student_msp,student_msp_std,student_entropy,student_entropy_std,temp_msp,temp_entropy,energy_score,max_logit,low_conf_frac_050,low_conf_frac_070,n_valid_pixels,student_latency_ms,guardrail_latency_ms,teacher_latency_ms,student_miou_near,student_risk_near,n_near_pixels,student_miou_dynamic,student_risk_dynamic,n_dynamic_pixels,mc_entropy,mc_mutual_info,mc_dropout_latency_ms,guardrailpp_utility_dense_bce,guardrailpp_keep_dense_bce,guardrailpp_utility_dense_bce_q90,guardrailpp_utility_dense_bce_q95,guardrailpp_utility_dense_gap_raw,guardrailpp_utility_dense_gap,guardrailpp_keep_dense_gap,guardrailpp_utility_dense_gap_q90,guardrailpp_utility_dense_gap_q95,guardrailpp_utility_scalar,guardrailpp_utility,guardrailpp_keep,guardrail_risk,guardrail_keep,teacher_miou,teacher_risk,teacher_pixel_acc,teacher_miou_near,teacher_risk_near,teacher_benefit_near,teacher_miou_dynamic,teacher_risk_dynamic,teacher_benefit_dynamic,teacher_gain,teacher_benefit,teacher_gap,student_better_gap,oracle_keep,oracle_fail,disagreement_rate,confident_wrong_teacher_right,n_confident_pixels
acdc_b2_skd_fog,2026-07-07 05:54:48,acdc,val,fog,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b2/snapshots/3bb39e8739149c3777d0325349b2a6c32c6413db,runs/mit-b2_skd_j9196921/student_skd.ckpt,skd,GOPR0476_frame_000761_rgb_anon,/home/manors/Guardrail-Distillation/data/acdc/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000761_rgb_anon.png,fog,0.5372781403257071,0.4627218596742929,0.9653213620185852,0.9876588582992554,0.0625889971852302,0.031591173261404,0.1386221647262573,0.968670666217804,0.1114156395196914,-7.650240898132324,7.634981155395508,0.0033957767300307,0.0167205538600683,240004,6.163409008877352,3.682148002553731,8.475161244859919,0.4006980765529374,0.5993019234470627,68692,0.990768395329894,0.0092316046701058,3683,0.0320125184953212,0.0002577723935246,14.845297759165987,0.0292918235063552,0.9707081764936448,0.0628710016608238,0.227263867855072,0.0125260781496763,0.5031314492225647,0.4968685507774353,0.5121362805366516,0.5464756488800049,0.473165214061737,0.5031314492225647,0.4968685507774353,0.5031314492225647,0.4968685507774353,0.5376894068553993,0.4623105931446006,0.971983790397644,0.4544428726631055,0.5455571273368944,0.0537447961101682,0.9945696443117024,0.0054303556882976,0.0038012489818082,0.0004112665296922,0.0004112665296922,0.0158539023250341,0.0091915130615234,0.9995887334703076,0.0004112665296922,0.0274995416402816,0.0092040132731199,231377
acdc_b2_skd_fog,2026-07-07 05:54:48,acdc,val,fog,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b2/snapshots/3bb39e8739149c3777d0325349b2a6c32c6413db,runs/mit-b2_skd_j9196921/student_skd.ckpt,skd,GOPR0476_frame_000769_rgb_anon,/home/manors/Guardrail-Distillation/data/acdc/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000769_rgb_anon.png,fog,0.5150322019068073,0.4849677980931927,0.9026666283607484,0.97491192817688,0.0868085995316505,0.0675395503640174,0.2006226181983947,0.9343335032463074,0.2231965959072113,-7.134769916534424,7.103712558746338,0.0065763602033257,0.0325206816196441,249226,6.163409008877352,3.682148002553731,8.475161244859919,0.4499735479443978,0.5500264520556022,81531,0.5837895652558054,0.4162104347441946,5294,0.068309910595417,0.0004851817793678,14.845297759165987,0.0393287241458892,0.9606712758541108,0.1249383017420768,0.2638885974884033,0.017251007258892,0.5043126344680786,0.4956873655319214,0.5219025015830994,0.5494586229324341,0.4742541909217834,0.5043126344680786,0.4956873655319214,0.5043126344680786,0.4956873655319214,0.6849005351695995,0.3150994648304005,0.9607544541358948,0.6227280681802261,0.3772719318197739,0.1727545202358282,0.6755742012034918,0.3244257987965082,0.0917846359476863,0.1698683332627921,0.1698683332627921,0.0646040141582489,0.0065161739476025,0.8301316667372078,0.1698683332627921,0.0790407061576843,0.0517361722886562,231187
acdc_b2_skd_fog,2026-07-07 05:54:48,acdc,val,fog,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b2/snapshots/3bb39e8739149c3777d0325349b2a6c32c6413db,runs/mit-b2_skd_j9196921/student_skd.ckpt,skd,GOPR0476_frame_000775_rgb_anon,/home/manors/Guardrail-Distillation/data/acdc/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000775_rgb_anon.png,fog,0.5534800470150733,0.4465199529849267,0.9200187921524048,0.970037877559662,0.0910345986485481,0.0741441324353218,0.1896990090608596,0.9340865015983582,0.1911352574825287,-7.695242404937744,7.658874988555908,0.0042070122435688,0.0393681898713111,249821,6.163409008877352,3.682148002553731,8.475161244859919,0.5644709999038461,0.4355290000961539,82341,0.4453416149068323,0.5546583850931677,905,0.0748806893825531,0.0005174932884983,14.845297759165987,0.0429645515978336,0.9570354484021664,0.1504530161619186,0.3106197714805603,0.0226555354893207,0.5056636333465576,0.4943363666534424,0.5274254083633423,0.556312084197998,0.463796317577362,0.5056636333465576,0.4943363666534424,0.5056636333465576,0.4943363666534424,0.6899894539733893,0.3100105460266107,0.9629135131835938,0.6901948446665294,0.3098051553334706,0.1257238447626832,0.6176708074534162,0.3823291925465838,0.1723291925465838,0.136509406958316,0.136509406958316,0.0565845184028148,0.0136898029595613,0.863490593041684,0.136509406958316,0.0769631117582321,0.0377830564975738,226979
acdc_b2_skd_fog,2026-07-07 05:54:48,acdc,val,fog,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b2/snapshots/3bb39e8739149c3777d0325349b2a6c32c6413db,runs/mit-b2_skd_j9196921/student_skd.ckpt,skd,GOPR0476_frame_000781_rgb_anon,/home/manors/Guardrail-Distillation/data/acdc/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000781_rgb_anon.png,fog,0.5066841186865598,0.4933158813134402,0.875108540058136,0.965061366558075,0.1007741838693618,0.0867397636175155,0.2142523378133773,0.9251247048377992,0.2211630046367645,-7.078036308288574,7.03506326675415,0.0069456179626286,0.0487450361251831,254549,6.163409008877352,3.682148002553731,8.475161244859919,0.3822218086052473,0.6177781913947527,83034,0.9682373472949388,0.031762652705061,5730,0.0876252129673957,0.0006976631702855,14.845297759165987,0.0569499768316745,0.9430500231683254,0.2583360373973846,0.4001944065093994,0.0464002415537834,0.5115979909896851,0.4884020090103149,0.5574249625205994,0.6070900559425354,0.4747003316879272,0.5115979909896851,0.4884020090103149,0.5115979909896851,0.4884020090103149,0.6401151603169498,0.3598848396830502,0.9611116647720336,0.4515865145895821,0.5484134854104179,0.0693647059843347,0.3054682955206515,0.6945317044793484,0.0,0.13343104163039,0.13343104163039,0.0941979810595512,0.0081948861479759,0.86656895836961,0.13343104163039,0.1154591143131256,0.0513025037944316,227631
acdc_b2_skd_fog,2026-07-07 05:54:48,acdc,val,fog,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b2/snapshots/3bb39e8739149c3777d0325349b2a6c32c6413db,runs/mit-b2_skd_j9196921/student_skd.ckpt,skd,GOPR0476_frame_000788_rgb_anon,/home/manors/Guardrail-Distillation/data/acdc/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000788_rgb_anon.png,fog,0.5557719717883305,0.4442280282116695,0.8901669383049011,0.9715057015419006,0.0905857980251312,0.0752376988530159,0.2025501877069473,0.9305155873298644,0.2187145948410034,-7.967275619506836,7.932317733764648,0.0060397484339773,0.0368920899927616,247858,4.0082072373479605,3.6659247416537255,8.186434512026608,0.3754764129150032,0.6245235870849968,75477,0.943808879732004,0.0561911202679961,2978,0.0761523619294166,0.0005962277064099,14.333622762933372,0.0451915971934795,0.9548084028065204,0.1700953543186187,0.3166986405849457,0.0236312840133905,0.5059075355529785,0.4940924644470215,0.5301347374916077,0.5581551790237427,0.445557028055191,0.5059075355529785,0.4940924644470215,0.5059075355529785,0.4940924644470215,0.5376686772772825,0.4623313227227175,0.9570398926734924,0.3651212420184876,0.6348787579815123,0.0,0.2383275928052047,0.7616724071947952,0.0,0.0,0.0,0.0754665955901146,0.0085936300456523,1.0,0.0,0.0904993936419487,0.0574078671634197,227143
acdc_b2_skd_fog,2026-07-07 05:54:48,acdc,val,fog,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b2/snapshots/3bb39e8739149c3777d0325349b2a6c32c6413db,runs/mit-b2_skd_j9196921/student_skd.ckpt,skd,GOPR0476_frame_000798_rgb_anon,/home/manors/Guardrail-Distillation/data/acdc/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000798_rgb_anon.png,fog,0.4741052700321102,0.5258947299678898,0.8896878957748413,0.9590160250663756,0.1025801599025726,0.1083560287952423,0.2321733236312866,0.9103219509124756,0.2612990140914917,-6.40943717956543,6.359988212585449,0.0077914991416037,0.0489968433976173,256690,4.0082072373479605,3.6659247416537255,8.186434512026608,0.3488379034565277,0.6511620965434722,83067,0.5752762066526365,0.4247237933473635,26697,0.1093814447522163,0.0006687781424261,14.333622762933372,0.0858490243554115,0.9141509756445884,0.3794466555118561,0.4736732244491577,0.0866527780890464,0.5216495990753174,0.4783504009246826,0.5947400331497192,0.6398947238922119,0.477687120437622,0.5216495990753174,0.4783504009246826,0.5216495990753174,0.4783504009246826,0.5721625807702789,0.427837419229721,0.9550780653953552,0.488228718343158,0.5117712816568419,0.1393908148866303,0.6386705380312324,0.3613294619687676,0.0633943313785959,0.0980573107381687,0.0980573107381687,0.0697339177131652,0.0043437606655061,0.9019426892618312,0.0980573107381687,0.0958120673894882,0.0126183331012725,222901
acdc_b2_skd_fog,2026-07-07 05:54:48,acdc,val,fog,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b2/snapshots/3bb39e8739149c3777d0325349b2a6c32c6413db,runs/mit-b2_skd_j9196921/student_skd.ckpt,skd,GOPR0476_frame_000826_rgb_anon,/home/manors/Guardrail-Distillation/data/acdc/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000826_rgb_anon.png,fog,0.3640822359898301,0.6359177640101699,0.8743199110031128,0.9645026326179504,0.1002218797802925,0.0895709991455078,0.2195514589548111,0.9240728616714478,0.2195592075586319,-7.388103008270264,7.344552993774414,0.0066371411085128,0.047263029962778,249053,4.0082072373479605,3.6659247416537255,8.186434512026608,0.2425581265327972,0.7574418734672027,75219,0.3250956560882286,0.6749043439117713,7582,0.0902956128120422,0.0005153535748831,14.333622762933372,0.0459781289100647,0.9540218710899352,0.1720252484083175,0.3216841518878937,0.0377961322665214,0.5094479322433472,0.4905520677566528,0.5392469167709351,0.5765072703361511,0.4468711018562317,0.5094479322433472,0.4905520677566528,0.5094479322433472,0.4905520677566528,0.4862313431866623,0.5137686568133377,0.956555426120758,0.3975583042275526,0.6024416957724474,0.1550001776947552,0.4854152599594868,0.5145847400405132,0.1603196038712581,0.1221491071968321,0.1221491071968321,0.0930083096027374,0.0107728065922856,0.8778508928031679,0.1221491071968321,0.1084227040410041,0.0653274580836296,222608
acdc_b2_skd_fog,2026-07-07 05:54:48,acdc,val,fog,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b2/snapshots/3bb39e8739149c3777d0325349b2a6c32c6413db,runs/mit-b2_skd_j9196921/student_skd.ckpt,skd,GOPR0476_frame_000834_rgb_anon,/home/manors/Guardrail-Distillation/data/acdc/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000834_rgb_anon.png,fog,0.5730862870670097,0.4269137129329903,0.92637437582016,0.9453946352005004,0.1201942637562751,0.1378467828035354,0.2553351819515228,0.879787802696228,0.3539084196090698,-6.486839294433594,6.4199042320251465,0.009218793362379,0.0754843279719352,240487,4.0082072373479605,3.6659247416537255,8.186434512026608,0.3974778709147388,0.6025221290852611,75237,0.4804368698991839,0.5195631301008161,4169,0.1390195041894912,0.0008093681535683,14.333622762933372,0.076880358159542,0.923119641840458,0.2953033149242401,0.4025932550430298,0.0690462067723274,0.5172547101974487,0.4827452898025512,0.5684131979942322,0.6059765815734863,0.4599151611328125,0.5172547101974487,0.4827452898025512,0.5172547101974487,0.4827452898025512,0.6061346300482442,0.3938653699517558,0.947577178478241,0.4004610811864508,0.5995389188135491,0.002983210271712,0.4835692012473015,0.5164307987526985,0.0031323313481176,0.0330483429812344,0.0330483429812344,0.0314486846327781,0.0102458763867616,0.9669516570187656,0.0330483429812344,0.0469256117939949,0.0016882409108802,201830
acdc_b2_skd_fog,2026-07-07 05:54:48,acdc,val,fog,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b2/snapshots/3bb39e8739149c3777d0325349b2a6c32c6413db,runs/mit-b2_skd_j9196921/student_skd.ckpt,skd,GOPR0476_frame_000840_rgb_anon,/home/manors/Guardrail-Distillation/data/acdc/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000840_rgb_anon.png,fog,0.393289137302918,0.606710862697082,0.83419269323349,0.9254292845726012,0.1482356935739517,0.187980979681015,0.3470784425735473,0.8625311851501465,0.3859723210334778,-6.789647579193115,6.6947102546691895,0.024539366364479,0.1153708398342132,240104,3.9939692360349,3.664207004476338,8.145939267706126,0.2764985336015645,0.7235014663984355,80893,0.2920161598536496,0.7079838401463504,5654,0.1898273378610611,0.0015963948098942,14.31791900540702,0.1117801442742347,0.8882198557257652,0.4386483132839203,0.5501163005828857,0.1226667985320091,0.5306283235549927,0.4693716764450073,0.630947470664978,0.6664953231811523,0.4542731046676636,0.5306283235549927,0.4693716764450073,0.5306283235549927,0.4693716764450073,0.4222284497423663,0.5777715502576337,0.8701104521751404,0.3313307951271713,0.6686692048728287,0.0548322615256068,0.3028951804522129,0.6971048195477871,0.0108790205985632,0.0289393124394482,0.0289393124394482,0.0478792525827884,0.0119614833965897,0.9710606875605516,0.0289393124394482,0.1304851174354553,0.0035651216749101,188980
acdc_b2_skd_fog,2026-07-07 05:54:48,acdc,val,fog,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b2/snapshots/3bb39e8739149c3777d0325349b2a6c32c6413db,runs/mit-b2_skd_j9196921/student_skd.ckpt,skd,GOPR0476_frame_000845_rgb_anon,/home/manors/Guardrail-Distillation/data/acdc/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000845_rgb_anon.png,fog,0.4849499626037887,0.5150500373962112,0.9182867407798768,0.9437791109085084,0.1210437044501304,0.1372795403003692,0.2536035776138305,0.8852519989013672,0.3213797211647033,-7.154698371887207,7.08599328994751,0.0083970176056027,0.0761915892362594,249017,3.9939692360349,3.664207004476338,8.145939267706126,0.4147949517842053,0.5852050482157947,76059,0.4351197893781469,0.5648802106218531,1819,0.1381701231002807,0.0006957976729609,14.31791900540702,0.0827208086848259,0.917279191315174,0.3349286019802093,0.4157266318798065,0.0714147239923477,0.5178461074829102,0.4821538925170898,0.5771790742874146,0.6117077469825745,0.4553999304771423,0.5178461074829102,0.4821538925170898,0.5178461074829102,0.4821538925170898,0.5745911929210455,0.4254088070789544,0.9428753852844238,0.5276157900426897,0.4723842099573103,0.1128208382584843,0.4610515982364288,0.5389484017635713,0.0259318088582818,0.0896412303172567,0.0896412303172567,0.0404590852558612,0.0158704034984111,0.9103587696827432,0.0896412303172567,0.0610118992626667,0.0058831325732171,205861
