run_id,timestamp,dataset_name,split,domain,student_name,student_backbone,student_ckpt,train_method,image_id,image_path,condition,student_miou,student_risk,student_pixel_acc,student_msp,student_msp_std,student_entropy,student_entropy_std,temp_msp,temp_entropy,energy_score,max_logit,low_conf_frac_050,low_conf_frac_070,n_valid_pixels,student_latency_ms,guardrail_latency_ms,teacher_latency_ms,student_miou_near,student_risk_near,n_near_pixels,student_miou_dynamic,student_risk_dynamic,n_dynamic_pixels,mc_entropy,mc_mutual_info,mc_dropout_latency_ms,guardrailpp_utility_dense_bce,guardrailpp_keep_dense_bce,guardrailpp_utility_dense_gap_raw,guardrailpp_utility_dense_gap,guardrailpp_keep_dense_gap,guardrailpp_utility_scalar,guardrailpp_utility,guardrailpp_keep,guardrail_risk,guardrail_keep,teacher_miou,teacher_risk,teacher_pixel_acc,teacher_miou_near,teacher_risk_near,teacher_benefit_near,teacher_miou_dynamic,teacher_risk_dynamic,teacher_benefit_dynamic,teacher_gain,teacher_benefit,teacher_gap,student_better_gap,oracle_keep,oracle_fail,disagreement_rate,confident_wrong_teacher_right,n_confident_pixels
acdc_b1_gt_disagree_s42_fog,2026-05-04 23:21:43,acdc,val,fog,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,runs/mit-b1_skd_j9200315/student_skd.ckpt,skd,GOPR0476_frame_000761_rgb_anon,/home/manors/Guardrail-Distillation/data/acdc/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000761_rgb_anon.png,fog,0.4647295133798261,0.5352704866201738,0.9648297429084778,0.9870201349258424,0.060588713735342,0.0391012243926525,0.1499015092849731,0.9571568369865416,0.1613879203796386,-6.810713768005371,6.794988632202148,0.0030541156884282,0.0150955813005566,240004,4.290846496587619,348.6696072504856,9.043582002050243,0.3508988610940859,0.649101138905914,68692,0.9872386641325008,0.0127613358674992,3683,0.0403677336871624,0.0006173667497932,8.272597755421884,0.0422115102410316,0.9577884897589684,-0.2176905274391174,0.4457912743091583,0.5542087256908417,0.56689453125,0.0422115102410316,0.9577884897589684,0.0422115102410316,0.9577884897589684,0.5375009867242013,0.4624990132757987,0.9719379544258118,0.4543211867100943,0.5456788132899056,0.1034223256160083,0.9945696443117024,0.0054303556882976,0.0073309801792016,0.0727714733443751,0.0727714733443751,0.0186746884137392,0.0115664741024374,0.9272285266556248,0.0727714733443751,0.0333244428038597,0.0109456507489085,231108
acdc_b1_gt_disagree_s42_fog,2026-05-04 23:21:43,acdc,val,fog,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,runs/mit-b1_skd_j9200315/student_skd.ckpt,skd,GOPR0476_frame_000769_rgb_anon,/home/manors/Guardrail-Distillation/data/acdc/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000769_rgb_anon.png,fog,0.4645534733082963,0.5354465266917037,0.8989952802658081,0.9718904495239258,0.0919445753097534,0.0762424021959304,0.2151370346546173,0.9269798994064332,0.2479901909828186,-6.62469482421875,6.589838027954102,0.0075273043476045,0.0377087444067001,249226,4.290846496587619,348.6696072504856,9.043582002050243,0.3577400328567633,0.6422599671432367,81531,0.5128662667890901,0.4871337332109099,5294,0.0777713060379028,0.000949666427914,8.272597755421884,0.0349950157105922,0.9650049842894076,-0.2754576802253723,0.4315677285194397,0.5684322714805603,0.564453125,0.0349950157105922,0.9650049842894076,0.0349950157105922,0.9650049842894076,0.6853162575465449,0.3146837424534551,0.960810661315918,0.623189495772951,0.376810504227049,0.2654494629161877,0.6754789879330065,0.3245210120669934,0.1626127211439164,0.2207627842382485,0.2207627842382485,0.0713890194892883,0.009573639370501,0.7792372157617514,0.2207627842382485,0.0860102847218513,0.0469252802431583,229208
acdc_b1_gt_disagree_s42_fog,2026-05-04 23:21:43,acdc,val,fog,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,runs/mit-b1_skd_j9200315/student_skd.ckpt,skd,GOPR0476_frame_000775_rgb_anon,/home/manors/Guardrail-Distillation/data/acdc/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000775_rgb_anon.png,fog,0.5158895029373456,0.4841104970626544,0.9069374203681946,0.9742387533187866,0.0807535201311111,0.0692008137702941,0.1756777614355087,0.9312477111816406,0.2242230623960495,-6.688230037689209,6.6575541496276855,0.0024737713392823,0.030021496117115,249821,4.290846496587619,348.6696072504856,9.043582002050243,0.5144555217432141,0.4855444782567859,82341,0.3105590062111801,0.68944099378882,905,0.0706128850579261,0.0007452090503647,8.272597755421884,0.0322663895785808,0.9677336104214193,-0.199929654598236,0.4501834213733673,0.5498165786266327,0.5693359375,0.0322663895785808,0.9677336104214193,0.0322663895785808,0.9677336104214193,0.6899795025843903,0.3100204974156096,0.9629054665565492,0.690099477130643,0.309900522869357,0.1756439553874289,0.6176708074534162,0.3823291925465838,0.3071118012422361,0.1740899996470447,0.1740899996470447,0.0690174177289009,0.0130493436008691,0.8259100003529553,0.1740899996470447,0.0875667035579681,0.052969928830862,230572
acdc_b1_gt_disagree_s42_fog,2026-05-04 23:21:43,acdc,val,fog,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,runs/mit-b1_skd_j9200315/student_skd.ckpt,skd,GOPR0476_frame_000781_rgb_anon,/home/manors/Guardrail-Distillation/data/acdc/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000781_rgb_anon.png,fog,0.4674134068300383,0.5325865931699617,0.8641440868377686,0.9735120534896852,0.0866296291351318,0.069971814751625,0.1945818960666656,0.9353354573249816,0.2081016153097152,-6.548252105712891,6.516040325164795,0.0048792180605232,0.0346809476613998,254549,4.290846496587619,348.6696072504856,9.043582002050243,0.3389351756366244,0.6610648243633757,83034,0.4722513089005236,0.5277486910994764,5730,0.0713009312748909,0.0011666151694953,8.272597755421884,0.0240082368254661,0.9759917631745338,-0.2410440295934677,0.4400290846824646,0.5599709153175354,0.583984375,0.0240082368254661,0.9759917631745338,0.0240082368254661,0.9759917631745338,0.6401885239416588,0.3598114760583412,0.961174488067627,0.45176315789437,0.5482368421056301,0.1128279822577456,0.3054682955206515,0.6945317044793484,0.0,0.1727751171116205,0.1727751171116205,0.1063331663608551,0.0093027278780937,0.8272248828883795,0.1727751171116205,0.1253589689731598,0.0718015059828758,233698
acdc_b1_gt_disagree_s42_fog,2026-05-04 23:21:43,acdc,val,fog,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,runs/mit-b1_skd_j9200315/student_skd.ckpt,skd,GOPR0476_frame_000788_rgb_anon,/home/manors/Guardrail-Distillation/data/acdc/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000788_rgb_anon.png,fog,0.4175578579384614,0.5824421420615387,0.8777283430099487,0.967077374458313,0.0981710702180862,0.0876600071787834,0.2256850004196167,0.9210466742515564,0.2537823021411896,-6.500200748443604,6.459523677825928,0.0079037183895707,0.043827511370182,247858,2.875611739000305,120.46810951142106,7.857521763071418,0.3094464941865306,0.6905535058134693,75477,0.263941881739878,0.736058118260122,2978,0.0898606181144714,0.00143768126145,8.362173495697789,0.0388589277863502,0.9611410722136496,-0.2433253824710846,0.4394670128822326,0.5605329871177673,0.54931640625,0.0388589277863502,0.9611410722136496,0.0388589277863502,0.9611410722136496,0.5376716225792847,0.4623283774207153,0.9570398926734924,0.3647372102430472,0.6352627897569527,0.0552907160565165,0.2383275928052047,0.7616724071947952,0.0,0.1201137646408233,0.1201137646408233,0.0885345637798309,0.0092230224981904,0.8798862353591766,0.1201137646408233,0.1058751344680786,0.0602441690862178,223497
acdc_b1_gt_disagree_s42_fog,2026-05-04 23:21:43,acdc,val,fog,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,runs/mit-b1_skd_j9200315/student_skd.ckpt,skd,GOPR0476_frame_000798_rgb_anon,/home/manors/Guardrail-Distillation/data/acdc/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000798_rgb_anon.png,fog,0.2802209196488301,0.7197790803511699,0.7824612855911255,0.9793139100074768,0.0714723989367485,0.0649873614311218,0.1737170070409774,0.9291035532951356,0.2549248337745666,-6.078636646270752,6.054084300994873,0.0037204409018158,0.0223538111895322,256690,2.875611739000305,120.46810951142106,7.857521763071418,0.1636962487173983,0.8363037512826016,83067,0.5256860488075489,0.4743139511924511,26697,0.0673198029398918,0.0010652588680386,8.362173495697789,0.0611896552145481,0.938810344785452,-0.3197652101516723,0.4207329750061035,0.5792670249938965,0.57861328125,0.0611896552145481,0.938810344785452,0.0611896552145481,0.938810344785452,0.5722682382209554,0.4277317617790446,0.9550703167915344,0.4882284300266475,0.5117715699733525,0.3245321813092491,0.6386705380312324,0.3613294619687676,0.1129844892236835,0.2920473185721253,0.2920473185721253,0.1771124601364135,0.0045034866780042,0.7079526814278747,0.2920473185721253,0.2047255337238311,0.1398067623376846,242673
acdc_b1_gt_disagree_s42_fog,2026-05-04 23:21:44,acdc,val,fog,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,runs/mit-b1_skd_j9200315/student_skd.ckpt,skd,GOPR0476_frame_000826_rgb_anon,/home/manors/Guardrail-Distillation/data/acdc/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000826_rgb_anon.png,fog,0.3994272222331175,0.6005727777668826,0.8751108646392822,0.9619252681732178,0.1034120842814445,0.0985888242721557,0.2308942824602127,0.9150438904762268,0.2543783783912658,-6.199359893798828,6.152640342712402,0.0079420842230319,0.0509329326450824,249053,2.875611739000305,120.46810951142106,7.857521763071418,0.2614911093890153,0.7385088906109847,75219,0.4720459149223497,0.5279540850776503,7582,0.0999327972531318,0.0008705742657184,8.362173495697789,0.0612236633896827,0.9387763366103172,-0.3150878250598907,0.4218733310699463,0.5781266689300537,0.5517578125,0.0612236633896827,0.9387763366103172,0.0612236633896827,0.9387763366103172,0.486403600497463,0.513596399502537,0.9565795063972472,0.3975645890619709,0.602435410938029,0.1360734796729557,0.4854152599594868,0.5145847400405132,0.013369345037137,0.0869763782643455,0.0869763782643455,0.0925706550478935,0.0111020542681217,0.9130236217356544,0.0869763782643455,0.1085030063986778,0.0610030777752399,221136
acdc_b1_gt_disagree_s42_fog,2026-05-04 23:21:44,acdc,val,fog,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,runs/mit-b1_skd_j9200315/student_skd.ckpt,skd,GOPR0476_frame_000834_rgb_anon,/home/manors/Guardrail-Distillation/data/acdc/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000834_rgb_anon.png,fog,0.4836709835767716,0.5163290164232284,0.8981691002845764,0.9308801293373108,0.1338277608156204,0.1729519516229629,0.2869060933589935,0.8554132580757141,0.4193588495254516,-5.303055763244629,5.217855453491211,0.0134352371096611,0.0988161489367485,240487,2.875611739000305,120.46810951142106,7.857521763071418,0.2842432824559626,0.7157567175440374,75237,0.3097465419365156,0.6902534580634845,4169,0.1756652444601059,0.0017300326144322,8.362173495697789,0.1076349169015884,0.8923650830984116,-0.3733295798301697,0.4077367186546325,0.5922632813453674,0.52978515625,0.1076349169015884,0.8923650830984116,0.1076349169015884,0.8923650830984116,0.6060620689670632,0.3939379310329368,0.9475563764572144,0.4004149922550178,0.5995850077449822,0.1161717097990551,0.4835692012473015,0.5164307987526985,0.173822659310786,0.1223910853902915,0.1223910853902915,0.061932660639286,0.0125453760847449,0.8776089146097085,0.1223910853902915,0.0834057554602623,0.0090774139389395,191275
acdc_b1_gt_disagree_s42_fog,2026-05-04 23:21:44,acdc,val,fog,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,runs/mit-b1_skd_j9200315/student_skd.ckpt,skd,GOPR0476_frame_000840_rgb_anon,/home/manors/Guardrail-Distillation/data/acdc/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000840_rgb_anon.png,fog,0.3149398511968072,0.6850601488031929,0.8083663582801819,0.9433186650276184,0.1291298568248748,0.1525918841361999,0.313658058643341,0.8744023442268372,0.395041286945343,-5.372646808624268,5.301127910614014,0.0178672578185796,0.0797237828373909,240104,2.749478240730241,20.333885244326662,7.908414758276194,0.1817047753255025,0.8182952246744974,80893,0.2941070154409281,0.7058929845590719,5654,0.1564372479915619,0.0021791418548673,8.309755750815384,0.0844217538833618,0.9155782461166382,-0.3314593434333801,0.4178855717182159,0.5821144282817841,0.5390625,0.0844217538833618,0.9155782461166382,0.0844217538833618,0.9155782461166382,0.4223233979171682,0.5776766020828318,0.8701354265213013,0.331454552623041,0.668545447376959,0.1497497772975384,0.3028951804522129,0.6971048195477871,0.0087881650112847,0.1073835467203611,0.1073835467203611,0.0703028663992881,0.008533801883459,0.8926164532796389,0.1073835467203611,0.155107781291008,0.0252973698079586,201299
acdc_b1_gt_disagree_s42_fog,2026-05-04 23:21:44,acdc,val,fog,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,runs/mit-b1_skd_j9200315/student_skd.ckpt,skd,GOPR0476_frame_000845_rgb_anon,/home/manors/Guardrail-Distillation/data/acdc/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000845_rgb_anon.png,fog,0.4451476756618758,0.5548523243381243,0.8918306827545166,0.9479803442955016,0.1172749623656272,0.1360992342233657,0.262184202671051,0.8833737969398499,0.3471531271934509,-6.129299640655518,6.065562725067139,0.0106297964230179,0.0671761408448219,249017,2.749478240730241,20.333885244326662,7.908414758276194,0.3944454199184747,0.6055545800815252,76059,0.4002547176580325,0.5997452823419674,1819,0.1381503343582153,0.001299777533859,8.309755750815384,0.0924281924962997,0.9075718075037004,-0.2773383557796478,0.4311064481735229,0.568893551826477,0.55078125,0.0924281924962997,0.9075718075037004,0.0924281924962997,0.9075718075037004,0.574669052027451,0.425330947972549,0.942899525165558,0.5277026967456336,0.4722973032543663,0.1332572768271588,0.4610515982364288,0.5389484017635713,0.0607968805783961,0.1295213763655752,0.1295213763655752,0.0694571062922477,0.0183883029967546,0.8704786236344247,0.1295213763655752,0.0980334728956222,0.0314717479050159,209488
